#,Link,Date,Firm,Headline
1,https://www.businesswire.com/news/home/20230214005202/en/Coalition-Active-Cyber-Insurance-Now-Available-to-Large-Enterprise-Businesses-with-Revenue-up-to-5-Billion,"14 Feb, 2023","Coalition, Inc.",Coalition Active Cyber Insurance Now Available to Large Enterprise Businesses with Revenue up to $5 Billion
2,https://www.techtarget.com/searchsecurity/news/366537465/Coalition-Employee-actions-are-driving-cyber-insurance-claims,16 May 2023,"Coalition, Inc.",Employee actions are driving cyber insurance claims
3,https://techcrunch.com/2022/07/08/coalition-insurance-cyber/,8 July 2022,"Coalition, Inc.",Cyber insurance startup Coalition plots global expansion as valuation hits $5B
4,https://www.businesswire.com/news/home/20230130005714/en/Coalition-Launches-Coalition-Insurance-Company,30 January 2023,"Coalition, Inc.",Coalition Launches Coalition Insurance Company
5,https://www.prnewswire.com/news-releases/coalition-completes-acquisition-of-insurance-carrier-with-licenses-in-all-50-states-301605491.html,"Apr 12, 2023","Coalition, Inc.",Coalition Completes Acquisition of Insurance Carrier With Licenses In All 50 States
6,https://www.prnewswire.com/news-releases/coalition-welcomes-vantage-to-provide-capacity-for-its-cyber-insurance-programs-301533847.html,"Jan 31, 2023","Coalition, Inc.",Coalition welcomes Vantage to provide capacity for its cyber insurance programs
7,https://www.prnewswire.com/news-releases/coalition-and-bdt-capital-partners-announce-the-launch-of-ferian-re-301648173.html,"January 31, 2023","Coalition, Inc.",Coalition and BDT Capital Partners Announce the Launch of Ferian Re
8,https://www.prnewswire.com/news-releases/coalition-introduces-new-apis-to-power-executive-risks-insurance-301671297.html,"January 30, 2023","Coalition, Inc.",Coalition Introduces New APIs to Power Executive Risks Insurance
9,https://www.prnewswire.com/news-releases/ascot-backs-coalition-with-long-term-capacity-across-cyber-insurance-programs-301518700.html,"January 30, 2023","Coalition, Inc.",Ascot backs Coalition with long-term capacity across cyber insurance programs
10,https://www.prnewswire.com/news-releases/coalition-launches-tech-powered-executive-risks-products-with-personalized-risk-assessment-for-all-us-small-businesses-301472214.html,"08 Nov, 2022","Coalition, Inc.",Coalition launches tech-powered executive risks products with personalized risk assessment for all US small businesses
11,https://www.prnewswire.com/news-releases/coalition-launches-captive-to-accelerate-its-growth-in-cyber-insurance-301442749.html,"13 Oct, 2022","Coalition, Inc.",Coalition Launches Captive to Accelerate its Growth in Cyber Insurance
12,https://www.prnewswire.com/news-releases/coalition-launches-new-tech-powered-executive-risks-products-for-small-businesses-301418162.html,"16 Aug, 2022","Coalition, Inc.",Coalition Launches New Tech Powered Executive Risks Products for Small Businesses
13,https://www.prnewswire.com/news-releases/coalition-has-teamed-up-with-quickbooks-to-offer-leading-cyber-insurance-coverage-to-small-businesses-301309674.html,"15 Aug, 2022","Coalition, Inc.",Coalition has teamed up with QuickBooks to Offer Leading Cyber Insurance Coverage to Small Businesses
14,https://www.prnewswire.com/news-releases/leading-cyber-insurance-provider-coalition-launches-free-risk-management-platform-to-help-organizations-combat-ransomware-and-cyber-risk-301293410.html,"Aug 09, 2022","Coalition, Inc.","Leading Cyber Insurance Provider, Coalition, Launches Free Risk Management Platform to Help Organizations Combat Ransomware and Cyber Risk"
15,https://www.prnewswire.com/news-releases/coalition-raises-175m-to-build-the-future-of-commercial-insurance-301248986.html,"July 8, 2022","Coalition, Inc.",Coalition Raises $175M to Build the Future of Commercial Insurance
16,https://www.prnewswire.com/news-releases/swiss-re-corporate-solutions-and-coalition-extend-strategic-agreement-301245160.html,"27 Apr, 2022","Coalition, Inc.",Swiss Re Corporate Solutions and Coalition Extend Strategic Agreement
17,https://www.prnewswire.com/news-releases/coalition-launches-market-leading-admitted-cyber-insurance-offering-in-florida-301113044.html,"06 Apr, 2022","Coalition, Inc.",Coalition Launches Market Leading Admitted Cyber Insurance Offering in Florida
18,https://www.prnewswire.com/news-releases/coalition-enters-excess-cyber-insurance-market-301097844.html,"01 Feb, 2022","Coalition, Inc.",Coalition Enters Excess Cyber Insurance Market
19,https://www.prnewswire.com/news-releases/coalition-launches-disruptive-cyber-insurance--security-offering-in-canada-301059043.html,"13 Dec, 2021","Coalition, Inc.",Coalition Launches Disruptive Cyber Insurance & Security Offering In Canada
20,https://www.prnewswire.com/news-releases/coalition-named-to-the-2018-cb-insights-fintech-250-list-of-fastest-growing-fintech-startups-300738163.html,"08 Nov, 2021","Coalition, Inc.",Coalition Named to the 2018 CB Insights Fintech 250 List of Fastest-Growing Fintech Startups
21,https://www.prnewswire.com/news-releases/coalition-introduces-new-coverage-for-cryptomining-and-fraudulent-use-of-business-services-300700704.html,"10 Jun, 2021","Coalition, Inc.",Coalition Introduces New Coverage For Cryptomining And Fraudulent Use Of Business Services
22,https://www.prnewswire.com/news-releases/big-i-markets-partners-with-coalition-to-offer-cyber-and-technology-eo-coverage-300664755.html,"18 May, 2021","Coalition, Inc.","Big ""I"" Markets Partners with Coalition to Offer Cyber and Technology E&O Coverage"
23,https://www.prnewswire.com/news-releases/coalition-announces-cyber-insurance-for-smart-buildings-comprehensive-coverage-for-real-estate-developers-and-property-managers-300657090.html,"17 Mar, 2021","Coalition, Inc.",Coalition Announces Cyber Insurance for Smart Buildings: Comprehensive Coverage for Real Estate Developers and Property Managers
24,https://www.prnewswire.com/news-releases/hackerone-joins-forces-with-coalition-to-bring-hacker-powered-security-to-cyber-insurance-policyholders-300597684.html,"17 Mar, 2021","Coalition, Inc.",HackerOne Joins Forces with Coalition to Bring Hacker-Powered Security to Cyber Insurance Policyholders
28,https://www.insurancebusinessmag.com/us/news/cyber/coalition-launches-new-insurance-carrier-business-434544.aspx,"11 Mar, 2021","Coalition, Inc.",Coalition launches new insurance carrier business
29,https://www.insurancebusinessmag.com/us/news/technology/coalition-launches-new-ai-initiative-442434.aspx,"17 Aug, 2020","Coalition, Inc.",Coalition launches new AI initiative
30,https://www.insurancebusinessmag.com/us/news/cyber/coalition-swoops-for-pandc-firm-416977.aspx,"22 Jul, 2020","Coalition, Inc.",Coalition swoops for P&C firm
31,https://www.insurancebusinessmag.com/us/news/cyber/coalition-announces-three-key-appointments-416165.aspx,"14 May, 2020","Coalition, Inc.",Coalition announces three key appointments
32,https://www.coalitioninc.com/announcements/coalition-releases-security-vulnerability-exploit-scoring-system,"25 Oct, 2018","Coalition, Inc.",Coalition Releases Security Vulnerability Exploit Scoring System
33,https://finance.yahoo.com/news/coalition-launches-coalition-insurance-company-212600925.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAANb0dUqwzx2B04JYTajNIsiQ5flkEfyqs5MPkIVVZWARUOGXL3qXBmI74B3oy5wdagJmlZf_LGblcSyy7rn1Wg5OAdpprHPgykzSWCQRVZP8ciiUqQuUCbQQTkPtWrg1MTSE2RCQhEAMrX6yPjJY97CC4GuEAdvrGyeNZvof_hhf,"22 Aug, 2018","Coalition, Inc.",Coalition Launches Coalition Insurance Company
34,https://www.bloomberg.com/press-releases/2023-06-15/coalition-releases-security-vulnerability-exploit-scoring-system,"12 Jun, 2018","Coalition, Inc.",Coalition Releases Security Vulnerability Exploit Scoring System
35,https://www.dailyhostnews.com/am-best-assigns-credit-ratings-to-coalition-insurance-company,"31 May, 2018","Coalition, Inc.",AM Best Assigns Credit Ratings to Coalition Insurance Company
36,https://www.newswire.ca/news-releases/coalition-raises-175m-to-build-the-future-of-commercial-insurance-860192830.html,"13 Feb, 2018","Coalition, Inc.",Coalition Raises $175M to Build the Future of Commercial Insurance
,,,,
37,https://www.enveloprisk.com/news/jonathan-spry-global-reinsurance-roundtable/,"10 Sep, 2019",Envelop,Envelop CEO Jonathan Spry takes part in Global Reinsurance Roundtable in Monte Carlo debating how technology will shape the Market by 2030
38,https://www.theinsurer.com/reinsurancemonth/envelop-risk-launches-partnership-initiative-to-aid-cyber-market-growth/,"13 Sep, 2023",Envelop,Envelop Risk launches partnership initiative to aid cyber market growth
39,https://www.insurancejournal.com/news/international/2023/09/11/739763.htm,"11 Sep, 2023",Envelop,Markets/Coverages: Reinsurance MGA Envelop Risk Launches Program to Aid Cedents’ Entry Into Cyber
40,https://www.intelligentinsurer.com/news/envelop-risk-launches-new-cyber-risk-initiative-for-cedents-33600,"14 Sep, 2023",Envelop,Envelop Risk launches new cyber risk initiative for cedents
41,https://www.reinsurancene.ws/envelop-risk-launches-cyber-partnership-platforms/,"12 Sep, 2023",Envelop,Envelop Risk launches Cyber Partnership Platforms
42,https://coverager.com/envelop-risk-launches-cyber-partnership-platforms/,"14 Sep, 2023",Envelop,Envelop Risk launches Cyber Partnership Platforms
43,https://coverager.com/envelop-risk-raises-130-million/,"17 Sep, 2021",Envelop,Envelop Risk raises $130 million
44,https://coverager.com/cyber-insurance-firm-envelop-risk-announces-series-a/,"15May, 2020",Envelop,Cyber insurance firm Envelop Risk announces Series A
45,https://www.prnewswire.com/news-releases/radius-oral-care-company-celebrates-40th-anniversary-301783991.html,"29March, 2023",Radius,RADIUS Oral Care Company Celebrates 40th Anniversary
46,https://www.prnewswire.com/news-releases/radius-announces-triple-digit-growth-in-revenue--agent-transactions-in-2022-amid-real-estate-industry-layoffs-and-market-slowdown-301723981.html,"18January, 2023",Radius,"Radius Announces Triple-Digit Growth in Revenue & Agent Transactions in 2022, Amid Real Estate Industry Layoffs and Market Slowdown"
47,https://www.prnewswire.com/news-releases/radius-announces-wellness-partnership-with-stride-301652699.html,"19October, 2022",Radius,Radius Announces Wellness Partnership with Stride
48,https://www.prnewswire.com/news-releases/real-estate-tech-brokerage-radius-launches-in-house-mortgage-brokerage-in-california-301599506.html,"4August, 2022",Radius,Real Estate Tech Brokerage Radius Launches In-House Mortgage Brokerage in California
49,https://www.prnewswire.com/news-releases/real-estate-tech-brokerage-radius-launches-texas-operations-veteran-houston-agents-sharon-seline-wright-and-kelly-mcquerry-henderson-join-as-founding-members-301563218.html,"7June, 2022",Radius,Real Estate Tech Brokerage Radius Launches Texas Operations; Veteran Houston Agents Sharon Seline Wright and Kelly McQuerry Henderson Join as Founding Members
50,https://www.prnewswire.com/news-releases/radius-launches-data-for-good-to-give-back-to-customers--community-for-philanthropic-use-of-data-300778185.html,"15January, 2019",Radius,Radius Launches 'Data for Good' To Give Back To Customers & Community For Philanthropic Use Of Data
51,https://www.prnewswire.com/news-releases/radius-unveils-largest-global-b2b-data-ecosystem-with-new-data-relationship-300732612.html,"17October, 2018",Radius,Radius Unveils Largest Global B2B Data Ecosystem with New Data Relationship
52,https://www.prnewswire.com/news-releases/radius--leadspace-join-forces-to-lead-50-billion-data-intelligence-market-300638954.html,"30April, 2018",Radius,Radius & Leadspace Join Forces To Lead $50 Billion Data Intelligence Market
53,https://www.prnewswire.com/news-releases/radius-launches-data-intelligence-solutions-to-accelerate-sales-performance-300599282.html,"15February, 2018",Radius,Radius Launches Data Intelligence Solutions to Accelerate Sales Performance
54,https://www.prnewswire.com/news-releases/radius-and-liveramp-exclusive-partnership-introduces-a-new-era-for-b2b-digital-advertising-300548195.html,"2November, 2017",Radius,Radius and LiveRamp Exclusive Partnership Introduces a New Era for B2B Digital Advertising
55,https://www.prnewswire.com/news-releases/radius-announces-call-for-speakers-for-b2b-lounge-at-dreamforce-2017-300498148.html,"2August, 2017",Radius,Radius Announces Call for Speakers for B2B Lounge at Dreamforce 2017
56,https://www.prnewswire.com/news-releases/radius-delivers-omnichannel-marketing-to-b2b-organizations-with-new-integrations-300453816.html,"9May, 2017",Radius,Radius Delivers Omnichannel Marketing to B2B Organizations with New Integrations
57,https://www.prnewswire.com/news-releases/radius-announces-the-era-of-paying-for-b2b-data-is-over-300430112.html,"28March, 2017",Radius,Radius Announces The Era of Paying for B2B Data is Over
58,https://www.prnewswire.com/news-releases/radius-data-stewardship-removes-obstacles-between-data-and-revenue-300395293.html,"24January, 2017",Radius,Radius Data Stewardship Removes Obstacles Between Data and Revenue
59,https://www.prnewswire.com/news-releases/radius-reports-a-breakthrough-in-b2b-data-quality-and-intelligence-with-customer-network-effects-300335376.html,"28September, 2016",Radius,Radius Reports a Breakthrough in B2B Data Quality and Intelligence with Customer Network Effects
60,https://www.prnewswire.com/news-releases/radius-launches-first-ever-solution-to-advance-co-marketing-for-b2b-marketers-300334647.html,"27September, 2016",Radius,Radius Launches First-Ever Solution to Advance Co-Marketing for B2B Marketers
61,https://www.prnewswire.com/news-releases/radius-an-oracle-marketing-appcloud-partner-announces-combined-solution-with-oracle-marketing-cloud-to-help-marketers-identify-and-act-on-prospects-most-likely-to-convert-300329862.html,"19September, 2016",Radius,"Radius, an Oracle Marketing AppCloud Partner, Announces Combined Solution with Oracle Marketing Cloud to Help Marketers Identify and Act on Prospects Most Likely to Convert"
62,https://www.prnewswire.com/news-releases/radius-names-mark-woollen-as-chief-product-officer-300285938.html,"16June, 2016",Radius,Radius Names Mark Woollen as Chief Product Officer
63,https://www.prnewswire.com/news-releases/radius-extends-commitment-to-security-and-transparency-with-third-party-certification-and-cloud-security-registry-300282182.html,"9June, 2016",Radius,Radius Extends Commitment to Security and Transparency with Third Party Certification and Cloud Security Registry
64,https://www.prnewswire.com/news-releases/radius-brings-industry-leading-predictive-marketing-platform-to-enterprise-marketers-300271417.html,"19May, 2016",Radius,Radius Brings Industry-Leading Predictive Marketing Platform to Enterprise Marketers
65,https://www.prnewswire.com/news-releases/radius-announces-new-marketo-integration-and-predictive-scoring-capabilities-allowing-b2b-marketers-to-take-action-on-leads-in-real-time-300264663.html,"9May, 2016",Radius,Radius Announces New Marketo Integration and Predictive Scoring Capabilities Allowing B2B Marketers to Take Action on Leads in Real-Time
66,https://www.prnewswire.com/news-releases/gartner-names-radius-a-2016-cool-vendor-for-data-driven-marketing-300251145.html,"13April, 2016",Radius,"Gartner Names Radius a 2016 ""Cool Vendor"" for Data-Driven Marketing"
67,https://www.prnewswire.com/news-releases/radius-ceo-and-co-founder-darian-shirazi-to-deliver-keynote-presentation-at-the-street-fight-local-data-summit-247053901.html,"25February, 2014",Radius,Radius CEO and Co-Founder Darian Shirazi to Deliver Keynote Presentation at The Street Fight Local Data Summit
68,https://www.prnewswire.com/news-releases/radius-raises-13-million-led-by-formation8-partners-239456341.html,"9January, 2014",Radius,Radius Raises $13 Million Led By Formation8 Partners
69,https://www.prnewswire.com/news-releases/radius-announces-124m-round-of-series-b-funding-188053751.html,"23January, 2013",Radius,Radius Announces $12.4m Round Of Series B Funding
70,https://www.prnewswire.com/news-releases/radius-closes-2765-million-second-tranche-of-previously-announced-financing-134388603.html,"23November, 2011",Radius,Radius Closes $27.65 Million Second Tranche of Previously Announced Financing
71,https://www.prnewswire.com/news-releases/radius-3m-drug-delivery-systems-sign-development-agreement-for-transdermal-delivery-of-ba058-for-treatment-of-osteoporosis-122492498.html,"24May, 2011",Radius,"Radius, 3M Drug Delivery Systems Sign Development Agreement for Transdermal Delivery of BA058 for Treatment of Osteoporosis"
72,https://www.prnewswire.com/news-releases/radius-announces-closing-of-91-million-financing-to-advance-ba058-injection-into-phase-3-osteoporosis-study-122492403.html,"24May, 2011",Radius,Radius Announces Closing of $91 Million Financing to Advance BA058 Injection into Phase 3 Osteoporosis Study
73,https://www.prnewswire.com/news-releases/radius-presents-positive-phase-2a-study-results-establishing-clinical-proof-of-concept-for-rad1901-in-reducing-menopausal-hot-flashes-96726104.html,"19June, 2010",Radius,Radius Presents Positive Phase 2a Study Results Establishing Clinical Proof of Concept for RAD1901 in Reducing Menopausal Hot Flashes
74,https://www.fleetnews.co.uk/news/latest-fleet-news/2019/11/05/radius-acquires-the-burley-group,"5November, 2019",Radius,Radius acquires The Burley Group
75,insurancetimes.co.uk/news/radius-insurance-solutions-buys-wheels-based-broker/1439181.article,"13October, 2021",Radius,Radius Insurance Solutions buys wheels-based broker
76,https://www.radius.com/news/,"22August, 2023",Radius,Radius Belgium reaches 200k fuel cards
77,https://www.radius.com/radius-announces-the-acquisition-of-keystone-insurance/,"1April, 2022",Radius,Radius announces the acquisition of Keystone Insurance
78,https://www.thebusinessdesk.com/northwest/news/2087093-radius-insurance-solutions-swoops-for-yorkshire-firm,"13October, 2021",Radius,Radius Insurance Solutions swoops for Yorkshire firm
79,https://www.prnewswire.com/news-releases/boxx-insurance-expands-its-cyber-digital-wellness-employee-benefit-to-usa-301920444.html,"7September, 2023",Boxx Insurance,"BOXX Insurance expands its cyber ""Digital Wellness Employee Benefit"" to USA"
80,https://www.prnewswire.com/news-releases/boxx-insurance-launches-personal-cyber-insurance-on-its-usa-platform-301826710.html,"17May, 2023",Boxx Insurance,BOXX Insurance Launches Personal Cyber Insurance on its USA platform
81,https://www.prnewswire.com/news-releases/zurich-insurance-mene-une-levee-de-fonds-de-serie-b-pour-la-cyberassurance-mondiale-boxx-insurance-301735331.html,"31January, 2023",Boxx Insurance,Zurich Insurance mène une levée de fonds de série B pour la cyberassurance mondiale BOXX Insurance 
82,https://www.prnewswire.com/news-releases/zurich-insurance-fuhrt-serie-b-finanzierung-fur-globales-cyber-insurtech-unternehmen-boxx-insurance-an-301734912.html,"31January, 2023",Boxx Insurance,Zurich Insurance führt SERIE-B-Finanzierung für globales Cyber-InsurTech-Unternehmen BOXX Insurance an 
83,prnewswire.com/news-releases/zurich-insurance-lidera-la-recaudacion-de-fondos-serie-b-para-la-ciberinsurtech-global-boxx-insurance-301734907.html,"31January, 2023",Boxx Insurance,Zurich Insurance lidera la recaudación de fondos SERIE B para la ciberinsurtech global BOXX Insurance 
84,https://www.prnewswire.com/news-releases/zurich-insurance-lidera-la-recaudacion-de-fondos-de-la-serie-b-para-la-insurtech-global-boxx-insurance-886593543.html,"31January, 2023",Boxx Insurance,Zurich Insurance lidera la recaudación de fondos de la Serie B para la insurtech global BOXX Insurance 
85,https://www.prnewswire.com/news-releases/zurique-insurance-lidera-arrecadacao-de-fundos-de-serie-b-para-a-empresa-de-ciberseguranca-e-ciberseguros-boxx-insurance-876334024.html,"31January, 2023",Boxx Insurance,Zurique Insurance lidera arrecadação de fundos de Série B para a empresa de cibersegurança e ciberseguros BOXX Insurance 
86,https://www.prnewswire.com/news-releases/zurich-insurance-leads-series-b-fundraise-for-global-cyber-insurtech-boxx-insurance-301734080.html,"31January, 2023",Boxx Insurance,Zurich Insurance leads SERIES B fundraise for global cyber insurtech BOXX Insurance 
87,https://www.prnewswire.com/news-releases/zurich-insurance-leads-series-b-fundraise-for-global-cyber-insurtech-boxx-insurance-301733991.html,"31January, 2023",Boxx Insurance,Zurich Insurance leads SERIES B fundraise for global cyber insurtech BOXX Insurance 
88,https://www.prnewswire.com/news-releases/la-cyber-assurance-boxx-insurance-acquiert-la-societe-de-cybersecurite-basee-a-palo-alto-templarbit-301672077.html,"8November, 2022",Boxx Insurance,"La cyber-assurance BOXX Insurance acquiert la société de cybersécurité basée à Palo Alto, Templarbit "
89,https://www.prnewswire.com/news-releases/boxx-insurance-empresa-de-tecnologia-de-seguro-cibernetico-adquire-templarbit-empresa-de-inteligencia-de-ameacas-ciberneticas-com-sede-em-palo-alto-847097303.html,"8November, 2022",Boxx Insurance,"BOXX Insurance, empresa de tecnologia de seguro cibernético adquire Templarbit, empresa de inteligência de ameaças cibernéticas com sede em Palo Alto "
90,https://www.prnewswire.com/news-releases/la-insurtech-de-ciberseguros-boxx-insurance-adquiere-la-empresa-de-inteligencia-contra-ciberamenazas-con-sede-en-palo-alto-879691436.html,"8November, 2022",Boxx Insurance,La insurtech de ciberseguros BOXX Insurance adquiere la empresa de inteligencia contra ciberamenazas con sede en Palo Alto 
91,https://www.prnewswire.com/news-releases/cyber-insurtech-unternehmen-boxx-insurance-erwirbt-das-in-palo-alto-ansassige-unternehmen-fur-cyber-bedrohungsanalysen-templarbit-301671845.html,"8November, 2022",Boxx Insurance,Cyber-InsurTech-Unternehmen BOXX Insurance erwirbt das in Palo Alto ansässige Unternehmen für Cyber-Bedrohungsanalysen Templarbit English
92,https://www.prnewswire.com/news-releases/boxx-insurance-adquiere-templarbit-301671826.html,"8November, 2022",Boxx Insurance,BOXX Insurance adquiere Templarbit 
93,https://www.prnewswire.com/news-releases/cyber-insurtech-boxx-insurance-acquires-palo-alto-based-cyber-threat-intelligence-company-templarbit-301670822.html,"8November, 2022",Boxx Insurance,Cyber insurtech BOXX Insurance acquires Palo Alto-based cyber threat intelligence company Templarbit 
94,https://www.prnewswire.com/news-releases/cyber-insurtech-boxx-insurance-acquires-palo-alto-based-cyber-threat-intelligence-company-templarbit-301670726.html,"8November, 2022",Boxx Insurance,Cyber insurtech BOXX Insurance acquires Palo Alto-based cyber threat intelligence company Templarbit 
95,https://www.prnewswire.com/news-releases/boxx-insurance-refuerza-su-equipo-directivo-con-nombramientos-procedentes-de-paypal-y-deloitte-869468279.html,"25July, 2022",Boxx Insurance,BOXX Insurance refuerza su equipo directivo con nombramientos procedentes de Paypal y Deloitte 
96,https://www.prnewswire.com/news-releases/la-insurtech-de-ciberseguros-boxx-insurance-empodera-a-su-equipo-de-liderazgo-con-nombramientos-de-paypal-y-deloitte-881313044.html,"25July, 2022",Boxx Insurance,La insurtech de ciberseguros BOXX Insurance empodera a su equipo de liderazgo con nombramientos de Paypal y Deloitte 
97,https://www.prnewswire.com/news-releases/la-cyber-assurance-boxx-insurance-renforce-son-equipe-de-direction-avec-le-recrutement-de-cadres-venus-de-paypal-et-de-deloitte-820643963.html,"25July, 2022",Boxx Insurance,La cyber-assurance BOXX Insurance renforce son équipe de direction avec le recrutement de cadres venus de Paypal et de Deloitte 
98,https://www.prnewswire.com/news-releases/empresa-de-tecnologia-de-seguro-cibernetico-boxx-insurance-reforca-equipe-de-lideranca-com-nomeacoes-de-executivos-vindo-do-paypal-e-da-deloitte-841783424.html,"25July, 2022",Boxx Insurance,Empresa de tecnologia de seguro cibernético BOXX Insurance reforça equipe de liderança com nomeações de executivos vindo do Paypal e da Deloitte 
99,https://www.prnewswire.com/news-releases/das-cyber-versicherungsunternehmen-boxx-insurance-verstarkt-sein-fuhrungsteam-mit-ernennungen-aus-dem-umfeld-von-paypal-und-deloitte-855952540.html,"25July, 2022",Boxx Insurance,Das Cyber-Versicherungsunternehmen BOXX Insurance verstärkt sein Führungsteam mit Ernennungen aus dem Umfeld von Paypal und Deloitte 
100,https://www.prnewswire.com/in/news-releases/cyber-insurtech-boxx-insurance-supercharges-leadership-team-with-appointments-from-paypal-and-deloitte-832552327.html,"25July, 2022",Boxx Insurance,Cyber insurtech BOXX Insurance supercharges leadership team with appointments from Paypal and Deloitte 
101,https://www.prnewswire.com/news-releases/cyber-insurtech-boxx-insurance-supercharges-leadership-team-with-appointments-from-paypal-and-deloitte-301592053.html,"25July, 2022",Boxx Insurance,Cyber insurtech BOXX Insurance supercharges leadership team with appointments from Paypal and Deloitte 
102,https://www.prnewswire.com/news-releases/cyber-insurer-boxx-fills-gap-between-insurance-and-security-with-virtual-ciso-for-small-business-301533774.html,"27April, 2022",Boxx Insurance,Cyber insurer BOXX fills gap between insurance and security with Virtual CISO for Small Business
103,https://www.prnewswire.com/news-releases/cyber-insurtech-boxx-hires-beazley-leader-in-senior-insurance-role-301486016.html,"22February, 2022",Boxx Insurance,Cyber insurtech BOXX hires Beazley leader in senior insurance role
104,https://www.prnewswire.com/news-releases/boxx-insurance-partners-with-equifax-to-launch-us1m-id-theft-coverage-amidst-surging-cyber-safety-concerns-in-record-breaking-online-holiday-shopping-year-301438465.html,"7December, 2021",Boxx Insurance,BOXX Insurance partners with Equifax to launch US$1M ID Theft Coverage amidst surging cyber safety concerns in record-breaking online holiday-shopping year
105,https://www.prnewswire.com/news-releases/toronto-based-cyber-insurer-boxx-insurance-appoints-dominic-steptoe-as-global-chief-product-officer-301412317.html,"1November, 2021",Boxx Insurance,Toronto-Based Cyber Insurer BOXX Insurance Appoints Dominic Steptoe as Global Chief Product Officer
106,https://www.prnewswire.com/news-releases/cyber-insurer-boxx-insurance-and-cybersecurity-firm-asceris-announce-partnership-301402709.html,"19October, 2021",Boxx Insurance,Cyber insurer BOXX Insurance and cybersecurity firm Asceris announce partnership
